t,x,y,theta,v,omega,phi,dot_xd,ddot_xd ,dddot_xd,dot_yd,ddot_yd,dddot_yd
15.594623270208164,1.9416876237767187,2.479425877140898,1.9310256631760512,0.48293831466623593,-1.481528505406665e-07,0.4636473805711193,-0.07842764954491359,-0.05177626014934389,0.00444903551301271,0.32038889876706156,-0.017432774768947498,-0.011693914842284667
15.62292567178749,1.939429502753934,2.48848050508452,1.9378551661580308,0.48227777488721496,-1.5094351541833453e-07,0.4636473763386287,-0.07988858841413947,-0.05162805525133827,0.004546724167703081,0.31988571457623766,-0.017755144096371266,-0.011654239006854267
15.651228073366815,1.9371301453921075,2.4975206526498703,1.9446752363856337,0.4816051925477497,-1.5373513219731227e-07,0.4636473720271389,-0.08134525124696548,-0.05147716948979849,0.004644025844390204,0.31937344612748825,-0.018076197089890916,-0.011613717396767658
15.679530474946139,1.9347896747003532,2.5065460637226407,1.9514857037042626,0.48092060495812017,-1.5654028084571987e-07,0.4636473676363333,-0.08279756255289397,-0.051323615646754916,0.004740932521104358,0.3188521313753097,-0.01839591076848619,-0.011572354332527955
15.707832876525465,1.932408215814719,2.5155564832797417,1.9582863984920138,0.4802240500937809,-1.5936071219644016e-07,0.4636473631660705,-0.08424544720981243,-0.051167406724638945,0.0048374362857861244,0.31832180892043155,-0.018714262284305207,-0.011530154291943876
15.73613527810479,1.929985895987599,2.5245516574074895,1.9650771516690737,0.47951556659339584,-1.6213671990579e-07,0.46364735861622175,-0.08568883047003112,-0.051008555934035735,0.004933529236479893,0.31778251800581686,-0.019031228939500572,-0.011487121866290096
15.764437679684116,1.92752284457698,2.5335313333196723,1.971857794707145,0.4787951937563775,-1.6491482517163817e-07,0.4636473539880937,-0.08712763796622502,-0.05084707670015048,0.005029203557704508,0.317234298512236,-0.019346788190659076,-0.011443261642849499
15.79274008126344,1.9250191930355205,2.5424952593754835,1.9786281596387094,0.47806297154102895,-1.6769301384645912e-07,0.46364734928149354,-0.08856179571737914,-0.05068298265507717,0.005124451464799083,0.3166771909540888,-0.01966091763598745,-0.011398578413045268
15.821042482842765,1.9224750748994617,2.5514431850973494,1.9853880790663887,0.4773189405619977,-1.7048560565879854e-07,0.4636473444957126,-0.08999123013464994,-0.050516287640599886,0.005219265239780897,0.31611123647501693,-0.019973595038286548,-0.011353076912193597
15.849344884422091,1.9198906257773745,2.560374861188617,1.9921373861721796,0.47656314208787237,-1.7326872813984591e-07,0.4636473396311445,-0.0914158680272241,-0.05034700570407265,0.005313637237505249,0.3155364768435441,-0.020284798302528637,-0.011306762115759292
15.877647286001416,1.917265983338743,2.5692900395511256,1.9988759147266943,0.47579561803921105,-1.7602838398700062e-07,0.4636473346883003,-0.09283563660803129,-0.05017515109453871,0.0054075598280277715,0.3149529544485806,-0.020594505505779792,-0.011259638952720542
15.90594968758074,1.914601287302387,2.5781884733026446,2.0056034990984255,0.47501641098584335,-1.7881270245627537e-07,0.4636473296666221,-0.09425046349951828,-0.0500007382679281,0.005501025494710399,0.31436071229480916,-0.02090269487497159,-0.011211712487182649
15.934252089160067,1.9118966794247196,2.587069916794184,2.012319974262824,0.4742255641445398,-1.815414153911298e-07,0.4636473245673303,-0.09566027673930347,-0.0498237818755522,0.005594026747090568,0.3137597939982751,-0.02120934480084738,-0.011162987933722267
15.962554490739391,1.9091523034878537,2.595934125627172,2.019025175811538,0.4734231213764835,-1.8433991564031318e-07,0.463647319389914,-0.09706500478572848,-0.04964429676907735,0.005686556152109339,0.3131502437814614,-0.02151443384899135,-0.011113470412817636
